"","Name","Price","Ratings","Reviews"
"1","Nintendo Switch (OLED Model) Mario Red Edition  ","£269.99£269.99","79","4.7 out of 5 stars"
"2","Nintendo Switch (Neon Red/Neon blue)  ","£247.45£247.45","436","4.7 out of 5 stars"
"3","Nintendo Switch Lite - Turquoise  ","£265.50£265.50","3,645","4.8 out of 5 stars"
"4","Nintendo Switch (Mario Red & Blue Edition)  ","£242.50£242.50","700","4.6 out of 5 stars"
"5","Nintendo Switch – OLED Model Pokemon Scarlet and Violet Limited Edition  ","£229.58£229.58","241","4.8 out of 5 stars"
"6","Nintendo Switch (Neon Red/Neon blue) & Animal Crossing: New Horizons (Switch)  ","£179.10£179.10","17","4.8 out of 5 stars"
"7","Nintendo Switch Lite - Turquoise + Mario Kart 8 Deluxe  ","£165.82£165.82","160","4.7 out of 5 stars"
"8","Nintendo Switch (Welcome To Animal Crossing Edition)  ","£245.82£245.82","1,314","4.8 out of 5 stars"
"9","Nintendo Switch Lite - Turquoise + Minecraft (Nintendo Switch)  ","£324.16£324.16","267","4.8 out of 5 stars"
"10","Nintendo Switch Console with Neon Red & Blue Joy-Con (EU)  ","£314.98£314.98","3,801","4.7 out of 5 stars"
"11","30 In 1 Game Collection Vol 2 (Nintendo Switch)  ","£22.48£22.48","1,526","4.4 out of 5 stars"
"12","Nintendo Switch Lite - Turquoise + New Super Mario Bros. U Deluxe  ","£24.99£24.99","9","5.0 out of 5 stars"
"13","Nintendo Switch Lite - Coral + Mario Kart 8 Deluxe  ","£24.99£24.99","75","4.5 out of 5 stars"
"14","Nintendo Switch Lite - Turquoise + Switch Online 12 Months [Download Code]  ","£30.82£30.82","58","4.7 out of 5 stars"
"15","CelebFuny Wireless Switch Controller, L/R Pair Controllers for Switch Sports Support Wake-up/Dual Vibration/Motion Control (Pink+Green)  ","£26.99£26.99","45","4.3 out of 5 stars"
"16","Perky Little Things (Nintendo Switch)  ",NA,"443","4.3 out of 5 stars"
"17",NA,NA,NA,"4 Stars & Up"
"18",NA,NA,NA,"3 Stars & Up"
"19",NA,NA,NA,"2 Stars & Up"
"20",NA,NA,NA,"1 Star & Up"
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",NA,NA,NA,NA
"27",NA,NA,NA,NA
"28",NA,NA,NA,NA
"29",NA,NA,NA,NA
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",NA,NA,NA,NA
"34",NA,NA,NA,NA
"35",NA,NA,NA,NA
"36",NA,NA,NA,NA
"37",NA,NA,NA,NA
"38",NA,NA,NA,NA
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,NA,NA
"42",NA,NA,NA,NA
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,NA,NA,NA
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",NA,NA,NA,NA
